original,variant,type,phash_distance,dhash_distance,ahash_distance
vehicle_008.jpg,vehicle_008_crop.jpg,cropped,10,18,3
vehicle_008.jpg,vehicle_008_resize.jpg,resized,0,0,0
vehicle_008.jpg,vehicle_008_watermark.jpg,watermarked,0,1,0
vehicle_009.jpg,vehicle_009_compressed.jpg,compressed,0,2,0
vehicle_009.jpg,vehicle_009_crop.jpg,cropped,18,14,10
vehicle_009.jpg,vehicle_009_resize.jpg,resized,0,1,0
vehicle_009.jpg,vehicle_009_watermark.jpg,watermarked,0,1,0
vehicle_010.jpg,vehicle_010_compressed.jpg,compressed,0,0,0
vehicle_010.jpg,vehicle_010_crop.jpg,cropped,20,20,16
vehicle_010.jpg,vehicle_010_resize.jpg,resized,0,0,0
vehicle_010.jpg,vehicle_010_watermark.jpg,watermarked,0,0,0
